Country,CountryID,New_cases,New_deaths
Afghanistan,AFG,185272,7743
Albania,ALB,304600,3527
Algeria,DZA,267194,6876
American Samoa,ASM,7471,33
Andorra,AND,45508,153
Angola,AGO,102301,1912
Anguilla,AIA,3580,10
Antigua and Barbuda,ATG,8741,144
Argentina,ARG,9507562,129278
Armenia,ARM,425365,8633
Aruba,ABW,42080,224
Australia,AUS,9280010,11512
Austria,AUT,4774043,20317
Azerbaijan,AZE,797638,9744
Bahamas,BHS,36604,822
Bahrain,BHR,657669,1509
Bangladesh,BGD,2004188,29284
Barbados,BRB,90934,489
Belarus,BLR,994037,7118
Belgium,BEL,4414255,32228
Belize,BLZ,66857,680
Benin,BEN,27316,163
Bermuda,BMU,17193,144
Bhutan,BTN,60368,21
Bolivia (Plurinational State of),BOL,1020678,22036
Bonaire,BES,9068,30
Bosnia and Herzegovina,BIH,384976,15853
Botswana,BWA,324841,2760
Brazil,BRA,33704393,677804
British Virgin Islands,VGB,7131,63
Brunei Darussalam,BRN,205890,186
Bulgaria,BGR,1204264,37360
Burkina Faso,BFA,21128,387
Burundi,BDI,45308,15
Cabo Verde,CPV,62114,410
Cambodia,KHM,136680,3056
Cameroon,CMR,120215,1931
Canada,CAN,4023104,42477
Cayman Islands,CYM,28784,29
Central African Republic,CAF,14764,113
Chad,TCD,7432,193
Chile,CHL,4214769,59477
China,CHN,5567513,23501
Colombia,COL,6247634,140603
Comoros,COM,8315,160
Congo,COG,24775,386
Cook Islands,COK,5979,1
Costa Rica,CRI,1028375,8690
Croatia,HRV,1182836,16277
Cuba,CUB,1107800,8529
Curaçao,CUW,45063,282
Cyprus,CYP,562911,1115
Czechia,CZE,3981287,40448
Côte d’Ivoire,CIV,85055,810
Democratic People's Republic of Korea,PRK,0,0
Democratic Republic of the Congo,COD,92173,1390
Denmark,DNK,3228291,6628
Djibouti,DJI,15690,189
Dominica,DMA,14852,68
Dominican Republic,DOM,627460,4383
Ecuador,ECU,958075,35797
Egypt,EGY,514659,24765
El Salvador,SLV,190818,4192
Equatorial Guinea,GNQ,16708,183
Eritrea,ERI,9980,103
Estonia,EST,586399,2620
Eswatini,SWZ,73267,1417
Ethiopia,ETH,491979,7568
Falkland Islands (Malvinas),FLK,1835,0
Faroe Islands,FRO,34658,28
Fiji,FJI,67549,870
Finland,FIN,1171032,5012
France,FRA,32768452,148462
French Guiana,GUF,92575,404
French Polynesia,PYF,75257,649
Gabon,GAB,48511,306
Gambia,GMB,12078,368
Georgia,GEO,1686218,16859
Germany,DEU,30787309,143855
Ghana,GHA,167215,1456
Gibraltar,GIB,19902,105
Greece,GRC,4349423,30999
Greenland,GRL,11971,21
Grenada,GRD,18786,234
Guadeloupe,GLP,183018,965
Guam,GUM,46055,380
Guatemala,GTM,1027805,18953
Guernsey,GGY,29924,54
Guinea,GIN,37408,445
Guinea-Bissau,GNB,8412,172
Guyana,GUY,69620,1271
Haiti,HTI,32223,838
Holy See,VAT,26,0
Honduras,HND,438050,10932
Hungary,HUN,1965481,46790
Iceland,ISL,201648,179
India,IND,43979730,526258
Indonesia,IDN,6197495,156970
Iran (Islamic Republic of),IRN,7359489,141795
Iraq,IRQ,2438101,25304
Ireland,IRL,1644166,7675
Isle of Man,IMN,37696,114
Israel,ISR,4573959,11349
Italy,ITA,20898059,171638
Jamaica,JAM,145852,3187
Japan,JPN,12118112,32286
Jersey,JEY,58003,133
Jordan,JOR,1709879,14074
Kazakhstan,KAZ,1433859,19022
Kenya,KEN,337500,5672
Kiribati,KIR,3430,13
Kosovo[1],XKX,250457,3159
