Country,year,month,monthname,New_cases,New_deaths
Brazil,2020,1,Jan,0,0
Brazil,2020,2,Feb,1,0
Brazil,2020,3,Mar,4255,136
Brazil,2020,4,Apr,67630,4881
Brazil,2020,5,May,393280,22861
Brazil,2020,6,Jun,878977,29744
Brazil,2020,7,Jul,1208122,32512
Brazil,2020,8,Aug,1293888,30328
Brazil,2020,9,Sep,899311,21596
Brazil,2020,10,Oct,748912,16911
Brazil,2020,11,Nov,795896,13592
Brazil,2020,12,Dec,1273279,20120
Brazil,2021,1,Jan,1554962,29985
Brazil,2021,2,Feb,1337117,30169
Brazil,2021,3,Mar,2117985,61031
Brazil,2021,4,Apr,1947674,84319
Brazil,2021,5,May,1950311,62872
Brazil,2021,6,Jun,1976802,53035
Brazil,2021,7,Jul,1390967,40405
Brazil,2021,8,Aug,902446,24811
Brazil,2021,9,Sep,639975,16138
Brazil,2021,10,Oct,411611,12016
Brazil,2021,11,Nov,287505,6816
Brazil,2021,12,Dec,182928,4539
Brazil,2022,1,Jan,2950788,7707
Brazil,2022,2,Feb,3529428,22389
Brazil,2022,3,Mar,1138347,10328
Brazil,2022,4,Apr,536523,3984
Brazil,2022,5,May,534659,3228
Brazil,2022,6,Jun,1253375,4395
Brazil,2022,7,Jul,1497439,6956
France,2020,1,Jan,6,0
France,2020,2,Feb,51,2
France,2020,3,Mar,43920,3015
France,2020,4,Apr,83089,21037
France,2020,5,May,21170,4663
France,2020,6,Jun,11138,1013
France,2020,7,Jul,20620,406
France,2020,8,Aug,111684,331
France,2020,9,Sep,295067,1223
France,2020,10,Oct,925313,4573
France,2020,11,Nov,673758,15702
France,2020,12,Dec,379156,12039
France,2021,1,Jan,549570,11462
France,2021,2,Feb,480930,10380
France,2021,3,Mar,836770,8885
France,2021,4,Apr,770378,8780
France,2021,5,May,363594,5047
France,2021,6,Jun,95959,1550
France,2021,7,Jul,309323,649
France,2021,8,Aug,583962,1852
France,2021,9,Sep,238638,1784
France,2021,10,Oct,143146,839
France,2021,11,Nov,456897,1313
France,2021,12,Dec,2088443,4417
France,2022,1,Jan,9069358,6811
France,2022,2,Feb,3477408,7283
France,2022,3,Mar,2667625,3895
France,2022,4,Apr,3073891,3672
France,2022,5,May,832085,2323
France,2022,6,Jun,1422860,1175
France,2022,7,Jul,2742643,2341
Germany,2020,1,Jan,6,0
Germany,2020,2,Feb,106,1
Germany,2020,3,Mar,67898,2300
Germany,2020,4,Apr,92788,6050
Germany,2020,5,May,21068,767
Germany,2020,6,Jun,12647,147
Germany,2020,7,Jul,14744,131
Germany,2020,8,Aug,34233,129
Germany,2020,9,Sep,47747,329
Germany,2020,10,Oct,241474,3069
Germany,2020,11,Nov,529699,11599
Germany,2020,12,Dec,672588,25801
Germany,2021,1,Jan,482575,20077
Germany,2021,2,Feb,224956,6737
Germany,2021,3,Mar,373649,5541
Germany,2021,4,Apr,567894,6754
Germany,2021,5,May,295304,2796
Germany,2021,6,Jun,48317,294
Germany,2021,7,Jul,43074,164
Germany,2021,8,Aug,178386,874
Germany,2021,9,Sep,284218,1769
Germany,2021,10,Oct,377344,3473
Germany,2021,11,Nov,1255905,10209
Germany,2021,12,Dec,1300254,8940
Germany,2022,1,Jan,2791172,3702
Germany,2022,2,Feb,4889197,6330
Germany,2022,3,Mar,6446903,7557
Germany,2022,4,Apr,3596750,4110
Germany,2022,5,May,1457121,1426
Germany,2022,6,Jun,1891828,1375
Germany,2022,7,Jul,2547464,1404
India,2020,1,Jan,5,0
India,2020,2,Feb,2,0
India,2020,3,Mar,1244,32
India,2020,4,Apr,31799,1042
India,2020,5,May,149093,4090
India,2020,6,Jun,384697,11729
India,2020,7,Jul,1072030,18854
India,2020,8,Aug,1982375,28722
India,2020,9,Sep,2604518,33028
India,2020,10,Oct,1911356,24144
India,2020,11,Nov,1294572,15498
India,2020,12,Dec,834983,11599
India,2021,1,Jan,479509,5536
India,2021,2,Feb,350548,2777
India,2021,3,Mar,1052604,5417
India,2021,4,Apr,6613641,45862
India,2021,5,May,9284558,120770
India,2021,6,Jun,2315314,69354
India,2021,7,Jul,1251145,25356
India,2021,8,Aug,1154887,14750
India,2021,9,Sep,971100,9502
India,2021,10,Oct,533320,10124
India,2021,11,Nov,314522,10794
India,2021,12,Dec,250982,12100
India,2022,1,Jan,6463636,13970
India,2022,2,Feb,1621690,18793
India,2022,3,Mar,100310,7286
India,2022,4,Apr,51424,2674
India,2022,5,May,82223,827
India,2022,6,Jun,294077,486
India,2022,7,Jul,527566,1142
Italy,2020,1,Jan,3,0
Italy,2020,2,Feb,885,21
Italy,2020,3,Mar,100851,11570
Italy,2020,4,Apr,101852,16091
Italy,2020,5,May,29073,5658
Italy,2020,6,Jun,7772,1404
Italy,2020,7,Jul,6722,388
Italy,2020,8,Aug,21060,345
Italy,2020,9,Sep,44793,398
Italy,2020,10,Oct,334663,2446
Italy,2020,11,Nov,937504,16583
Italy,2020,12,Dec,498511,18700
Italy,2021,1,Jan,458094,14675
Italy,2021,2,Feb,366042,9228
Italy,2021,3,Mar,653120,11372
Italy,2021,4,Apr,448263,11665
Italy,2021,5,May,206795,5502
Italy,2021,6,Jun,43130,1496
Italy,2021,7,Jul,84386,505
Italy,2021,8,Aug,190980,1099
Italy,2021,9,Sep,133762,1724
Italy,2021,10,Oct,99179,1204
Italy,2021,11,Nov,248350,1665
Italy,2021,12,Dec,965638,3508
Italy,2022,1,Jan,4944057,8902
